district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Dadra & Nagar Haveli,P49600000129,ROYAL VIEW,M AND P DEVELOPERS,396230,,New Project,04/28/2025,,,Mixed Development(Residential  and Commercial),4200.0,0.0,8199.43,12/16/2023,,150.0,80.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000132,Sun Avenue B - Wing,Sun Infra,396235,,New Project,11/20/2029,,,Group Housing,477.99,0.0,1990.45,06/09/2022,,44.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000138,VEDANT SKY,JALARAM DEVELOPERS,396235,,New Project,03/31/2028,,,Group Housing,4350.0,624.16,0.0,01/05/2024,,104.0,0.0,0.0,3.0,0.0,12.0,3.0,36.0,68.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000139,JC MAHALAXMI,JC REALTY ENTERPRISES LLP,396230,,New Project,12/31/2027,,,Mixed Development(Residential  and Commercial),5714.0,0.0,11185.04,09/19/2022,,182.0,0.0,3.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000134,SHASHIKALP HOMES A WING,AKS BUILDTECH,396230,,New Project,12/31/2027,,,Group Housing,866.0,0.0,1548.83,08/06/2022,,40.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000133,MANGALAM HEIGHTS,MANGALAM DEVELOPERS,396230,,New Project,07/31/2026,,,Mixed Development(Residential  and Commercial),3000.0,492.49,6000.0,01/11/2024,,130.0,119.0,0.0,2.0,0.0,18.0,0.0,50.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000135,Tropical Greens Phase-2 A,MICROMEGA PROJECTS,396230,,New Project,12/31/2026,,,Mixed Development(Residential  and Commercial),6323.0,632.0,12646.0,11/18/2023,,144.0,0.0,3.0,3.0,0.0,27.0,3.0,32.0,38.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000136,HORIZON RESIDENCY D WING,MAHARANI DEVELOPERS,396230,,New Project,12/31/2024,,,Group Housing,1012.08,0.0,705.6,02/06/2023,,24.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000140,M.J. HEIGHTS,SHREE KRISHNA BUILDCON,396230,,New Project,12/31/2027,,,Group Housing,1415.0,201.32,2820.42,12/06/2023,,63.0,20.0,0.0,0.0,0.0,9.0,1.0,31.0,15.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000137,SHASHIKALP HOMES B WING,AKS BUILDTECH,396230,,New Project,12/31/2027,,,Group Housing,601.98,0.0,513.84,09/08/2022,,20.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000142,SUMUKH RESIDENCY,ECSTASY DEVELOPERS,396240,,New Project,12/31/2027,,,Group Housing,3500.0,392.83,4142.84,09/22/2022,,96.0,0.0,0.0,3.0,0.0,12.0,3.0,18.0,78.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000146,RAJ HEAVENS PHASE II D WING,BURHANI TAMOS DEVELOPERS,396230,,New Project,03/31/2024,,,Group Housing,1301.0,413.88,2498.0,01/04/2023,,90.0,0.0,0.0,1.0,0.0,9.0,1.0,15.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000143,RAJESHREE COMPLEX A BUILDING,ABS DEVELOPERS,396230,,New Project,03/03/2025,,,Mixed Development(Residential  and Commercial),2325.0,242.47,4467.33,09/28/2022,,59.0,0.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000144,EKDANT SHLOK,Kalpeshkumar Takhatsinh Parmar,396230,"('20.270896000000000','73.016715000000000')",New Project,09/30/2024,,,Mixed Development(Residential  and Commercial),2400.0,240.93,4779.36,11/03/2023,,68.0,15.0,1.0,1.0,0.0,10.0,1.0,20.0,38.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000145,Nagjua Ananta,MICROMEGA PROJECTS,396230,"('72.989568000000000','20.284059000000000')",New Project,03/31/2027,,,Mixed Development(Residential  and Commercial),6900.0,1003.33,13782.79,11/18/2023,,274.0,0.0,0.0,5.0,0.0,45.0,5.0,36.0,5.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000148,KALPATARU SKYLINE,KALPATARU BUILDCON,396230,"('20.263625000000000','72.998315000000000')",New Project,12/31/2025,,,Mixed Development(Residential  and Commercial),2138.0,0.0,4108.37,10/26/2023,,66.0,37.0,0.0,1.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000147,KRISHNA TOWERS,PRABHAT PRATAPJI RAJPUROHIT,396230,,New Project,03/31/2029,,,Mixed Development(Residential  and Commercial),15860.0,0.0,14289.29,12/07/2023,,510.0,0.0,0.0,0.0,0.0,72.0,273.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000159,Tropical Greens Phase-2 B,MICROMEGA PROJECTS,396230,,New Project,12/31/2027,,,Mixed Development(Residential  and Commercial),35915.0,7835.0,71819.51,10/03/2023,,145.0,0.0,4.0,5.0,0.0,38.0,5.0,61.0,204.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000156,"SAKET RESIDENCY, PHASE-II, BUILDING-M",JALARAM DEVELOPERS,396230,,New Project,03/31/2028,,,Mixed Development(Residential  and Commercial),1872.0,350.0,0.0,06/10/2023,,54.0,0.0,0.0,1.0,0.0,9.0,1.0,27.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000149,YOGI WOODS PH-1,SHIV BUILDERS,396230,"('20.274986720000000','72.993132000000000')",New Project,12/31/2027,,,Group Housing,7083.0,680.0,14165.0,01/19/2024,,190.0,5.0,4.0,4.0,0.0,36.0,4.0,25.0,189.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000155,"SAKET RESIDENCY, PHASE-II, BUILDING-K",JALARAM DEVELOPERS,396230,,New Project,03/31/2028,,,Mixed Development(Residential  and Commercial),3918.45,350.0,3918.45,06/24/2023,,62.0,0.0,0.0,1.0,0.0,9.0,1.0,15.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000158,SIDDHI VINAYAK APPARTMENT-2,SIDDHI VINAYAK ENTERPRISES,396230,,New Project,12/31/2024,,,Mixed Development(Residential  and Commercial),854.0,0.0,1580.01,07/18/2023,,24.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000151,AKSHAR GREENS PHASE-2,MUNIVAR DEVELOPERS,396230,,New Project,02/26/2026,,,Group Housing,5650.42,0.0,9948.96,01/17/2024,,144.0,56.0,0.0,4.0,0.0,36.0,4.0,88.0,56.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000150,Mangalam Srushti,Mangalam Buildcon,396230,,New Project,12/31/2027,,,Group Housing,2500.0,0.0,7262.5,10/24/2023,,72.0,0.0,0.0,1.0,0.0,10.0,1.0,13.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000152,KASTURI FLORIDUS,FLORIDUS REALTORS LLP,396230,,New Project,12/31/2027,,,Group Housing,3710.72,829.22,4159.98,12/06/2023,,36.0,20.0,0.0,1.0,0.0,9.0,1.0,4.0,32.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000153,RAJESHREE RESIDENCY,J B DEVELOPERS,396230,,New Project,12/31/2027,,,Group Housing,1500.0,0.0,2786.04,05/04/2023,,72.0,0.0,0.0,1.0,0.0,9.0,1.0,15.0,24.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000157,PALLADIUM ALCOVE,SEVEN - 9 DEVCON LLP,396230,,New Project,12/31/2027,,,Mixed Development(Residential  and Commercial),3343.0,419.4,5327.14,06/29/2023,,128.0,0.0,1.0,2.0,0.0,16.0,2.0,41.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000154,AKSHAR RESIDENCY,SNT DEVELOPERS,396230,,New Project,11/30/2026,,,Group Housing,4000.0,930.98,6514.47,06/08/2023,,180.0,0.0,0.0,1.0,0.0,9.0,1.0,45.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000161,RUDRAKSHA,K AND R ASSOCIATES,396230,,New Project,12/31/2028,,,Mixed Development(Residential  and Commercial),1500.0,92.62,1680.92,12/04/2023,,40.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,4.0,0.0,0.0,0.0
Daman,P49500000001,FORTUNE DP NANO,G B & ASSOCIATES,396210,"('20.396363000000001','72.878711999999993')",On-Going Project,03/31/2020,09/30/2020,03/30/2022,Mixed Development(Residential  and Commercial),12682.94,1904.86,14582.94,03/23/2022,,569.0,466.0,0.0,7.0,0.0,49.0,0.0,35.0,0.0,0.0,0.0,0.0
Daman,P49500000002,FORTUNE PARADISE,DARSHAK BHUPATRAI SHAH,396210,"('20.423411999999999','72.846425999999994')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Mixed Development(Residential  and Commercial),2200.0,0.0,2498.03,06/10/2021,,58.0,29.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
Daman,P49500000003,MIDTOWN,MIDTOWN,396210,"('20.413868000000001','72.878467000000001')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Group Housing,2986.45,0.0,3784.05,06/10/2021,,141.0,93.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000005,FORTUNE-9,FORTUNE DREAM-CON PVT LTD,396210,"('18.488377900000000','74.102128199999996')",New Project,03/30/2022,,12/31/2022,Mixed Development(Residential  and Commercial),810.0,0.0,1922.01,03/23/2022,,30.0,0.0,1.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
Daman,P49500000004,Param Residency,Param Corporation,396215,"('19.077873700000001','72.905562700000004')",New Project,11/04/2021,,,Mixed Development(Residential  and Commercial),4335.0,730.0,6165.37,06/11/2021,,150.0,119.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000006,THE ADDRESS-PHASE-1,DARSHAK SHAH AND DHARMENDRA TANDEL,396210,"('19.285519600000001','72.869296700000007')",New Project,12/30/2021,,,Mixed Development(Residential  and Commercial),7097.0,0.0,4527.58,12/09/2023,,53.0,0.0,0.0,8.0,0.0,16.0,0.0,10.0,40.0,0.0,0.0,0.0
Daman,P49500000008,THE ADDRESS-PHASE 2,DARSHAK SHAH AND DHARMENDRA TANDEL,396210,"('20.528402799999999','76.210250000000002')",New Project,12/30/2022,,,Mixed Development(Residential  and Commercial),4465.0,0.0,9005.85,12/09/2023,,133.0,0.0,0.0,3.0,0.0,24.0,3.0,40.0,1.0,0.0,0.0,0.0
Daman,P49500000007,ROYAL BLISS,SHAILESH HARAKHCHAND KHUTHIYA,396210,"('19.096449199999999','74.739559099999994')",New Project,03/30/2021,,06/30/2022,Group Housing,900.0,0.0,1783.22,03/25/2023,,44.0,5.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
Daman,P49500000009,RASPBERRY BREEZE PHASE-1,HERRY RAJESHKUMAR PENGAWALA,396210,,New Project,12/30/2024,,,Group Housing,3800.0,2380.0,4362.0,01/30/2022,,52.0,0.0,0.0,0.0,0.0,4.0,0.0,52.0,0.0,0.0,0.0,0.0
Daman,P49500000010,Signature Home,Signature Developers,396210,,New Project,09/30/2020,,,Mixed Development(Residential  and Commercial),2600.0,0.0,2381.92,02/24/2022,,61.0,29.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000011,Fortune DP Nano-2 Phase-1,G B AND ASSOCIATES,396215,,New Project,03/30/2023,,,Group Housing,13525.0,1693.89,12164.32,12/09/2023,,378.0,0.0,0.0,7.0,0.0,56.0,7.0,115.0,7.0,0.0,0.0,0.0
Daman,P49500000012,DAMANIA ENCLAVE - B WING,SHEETAL NIKHIL DESAI,396210,,New Project,03/30/2022,,,Mixed Development(Residential  and Commercial),601.25,0.0,2552.19,02/08/2021,,48.0,0.0,0.0,1.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0
Daman,P49500000013,Noble Residency Phase 1,Noble Enterprise,396210,,New Project,10/10/2022,,,Group Housing,5979.8,335.19,5969.36,11/26/2018,,40.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000014,Patel Complex,AMRUTBHAI DURLABHBHAI PATEL,396210,"('20.408019300000000','72.834312299999970')",New Project,12/30/2021,,,Mixed Development(Residential  and Commercial),1198.0,696.0,1371.31,02/16/2023,,34.0,30.0,0.0,1.0,0.0,4.0,0.0,28.0,22.0,0.0,0.0,0.0
Daman,P49500000015,"Param Residency A,C,E,F",Param Corporation,396230,,New Project,11/08/2023,,,Group Housing,8028.0,1125.0,8047.53,12/12/2023,,192.0,88.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000016,Abhishek Luxuria,Abhishek Developers,396210,"('20.426776100000000','72.847007299999970')",New Project,11/15/2019,,12/30/2022,Mixed Development(Residential  and Commercial),1000.0,605.0,1440.0,03/30/2022,,28.0,21.0,0.0,1.0,0.0,5.0,1.0,12.0,1.0,0.0,0.0,0.0
Daman,P49500000017,BALAJI HOMES,BALAJI DEVELOPERS,396210,,New Project,10/22/2021,,,Mixed Development(Residential  and Commercial),943.0,0.0,914.27,04/17/2023,,22.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0
Daman,P49500000018,NIKETAN DREAMS BUILDING 1,SUNIL KESHAV DESAI,396210,"('20.426899000000000','72.847470000000000')",New Project,12/30/2024,,,Group Housing,2074.0,1000.0,2282.0,10/30/2023,,57.0,0.0,0.0,1.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0
Daman,P49500000019,Shashwat Prangan,Shashwat Builders and Developers,396210,,New Project,04/30/2024,,,Mixed Development(Residential  and Commercial),3000.0,0.0,3417.89,02/18/2023,,107.0,60.0,0.0,4.0,0.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0
Daman,P49500000020,TULSI RESIDENCY,OM ENTERPRISE,396210,"('20.408027000000000','72.870866000000000')",New Project,11/28/2023,,,Mixed Development(Residential  and Commercial),3810.0,2300.54,4381.37,02/25/2023,,114.0,0.0,0.0,2.0,0.0,8.0,0.0,45.0,0.0,0.0,0.0,0.0
Daman,P49500000021,SHREE GANESH ARCADE,SHREE GANESH FORTUNE,396210,,New Project,12/30/2023,,,Mixed Development(Residential  and Commercial),1200.0,0.0,1379.88,12/09/2023,,43.0,8.0,0.0,1.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0
Daman,P49500000022,Noble Industrial Complex,Vrundavan Enterprise,396210,,New Project,11/30/2020,,,Commercial,3308.0,0.0,3688.55,12/31/2021,,19.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000023,Fortune Skyes,Fortune Dream-con Private Limited,396210,,New Project,03/30/2024,,,Group Housing,2600.0,0.0,2989.36,06/11/2021,,40.0,0.0,1.0,1.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0
Daman,P49500000024,Vinayak A-Building,Malav Developer,396210,,New Project,12/30/2026,,,Mixed Development(Residential  and Commercial),1899.0,0.0,2255.01,06/20/2022,,36.0,28.0,0.0,1.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0
Daman,P49500000025,DARSHNAM PARK,RINKU RAJNIKANT KAMLI,396210,,New Project,06/30/2025,,,Commercial,607.0,364.0,993.0,10/05/2020,,20.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Daman,P49500000026,FORTUNE DP NANO EXTENSION,G B AND ASSOCIATES,396210,,New Project,06/30/2025,,,Mixed Development(Residential  and Commercial),1910.0,0.0,2193.35,12/09/2023,,67.0,40.0,0.0,2.0,0.0,8.0,1.0,45.0,1.0,0.0,0.0,0.0
Daman,P49500000027,SIGNATURE,RINKU RAJNIKANT KAMLI,396210,,New Project,06/30/2023,,,Group Housing,5852.0,0.0,4807.88,10/23/2020,,40.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0
Daman,P49500000028,Vinayak B-Building,Malav Developer,396210,,New Project,06/30/2026,,,Mixed Development(Residential  and Commercial),1019.0,0.0,1243.24,12/28/2022,,25.0,11.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000029,THE ADDRESS EXTENSION,DARSHAK SHAH AND DHARMENDRA TANDEL,396210,,New Project,06/30/2026,,,Group Housing,2971.0,0.0,2090.08,12/08/2023,,14.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000031,NEO PARK,MS DARSHAN REALITY,396210,,New Project,12/31/2023,,,Group Housing,4700.0,4700.0,3319.45,04/03/2021,,138.0,0.0,0.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0,0.0,0.0
Daman,P49500000030,Shivani Industrial Park,Ajaykumar Bhikhubhai Desai,396230,,New Project,06/30/2024,,,Commercial,3000.0,0.0,3561.5,03/18/2021,,22.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000033,KARAN COMPLEX,CAMBAY COAST CONSTRUCTION,396210,"('20.426776100000000','72.847007300000000')",New Project,10/15/2022,,,Group Housing,7669.0,0.0,7496.0,07/16/2021,,32.0,0.0,0.0,2.0,0.0,10.0,33.0,9.0,27.0,0.0,0.0,0.0
Daman,P49500000032,FORTUNE SHIV,FORTUNE DREAM-CON PRIVATE LIMITED,396210,,New Project,12/31/2025,,,Mixed Development(Residential  and Commercial),439.0,0.0,1069.51,07/16/2021,,23.0,0.0,1.0,1.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0
Daman,P49500000035,Noble Oceano,Noble Associate,396220,,New Project,12/31/2026,,,Group Housing,12080.0,1622.73,12395.72,02/11/2022,,63.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000034,Dhangra Residency C1 C2 F,Dhangra Realtors,396210,"('20.451697600000000','72.855588700000000')",New Project,12/31/2025,,,Group Housing,5688.1,0.0,3629.28,10/10/2022,,72.0,0.0,0.0,3.0,0.0,9.0,0.0,72.0,0.0,0.0,0.0,0.0
Daman,P49500000036,FORTUNE GARDENS,FORTUNE GARDENS,396210,,New Project,12/31/2026,,,Group Housing,4707.0,1882.8,3959.3,12/09/2023,,34.0,32.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000037,Noble Residency,Noble Residency,396210,,New Project,12/31/2026,,,Mixed Development(Residential  and Commercial),8678.0,870.0,9807.09,06/04/2022,,220.0,0.0,0.0,5.0,0.0,24.0,5.0,13.0,5.0,0.0,0.0,0.0
Daman,P49500000038,"Niketan Dreams Building 2 - Wing C,D and Building 3 Wing E",SUNIL KESHAV DESAI,396210,"('20.397373600000000','72.832799100000000')",New Project,06/30/2025,,,Group Housing,5050.0,2995.0,5137.0,10/30/2023,,62.0,35.0,0.0,2.0,0.0,8.0,0.0,1.0,23.0,0.0,0.0,0.0
Daman,P49500000039,FORTUNE GARDENS-2,FORTUNE GARDENS,396210,,New Project,07/31/2027,,,Group Housing,2438.0,1461.8,2803.7,12/09/2023,,18.0,18.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman,P49500000040,ROYAL HARMONY - B,SHAILESH HARAKHCHAND KHUTHIYA,396210,,New Project,12/30/2025,,,Group Housing,2100.0,1266.46,4394.51,12/05/2023,,42.0,8.0,0.0,1.0,0.0,6.0,0.0,42.0,0.0,0.0,0.0,0.0
Daman,P49500000045,Noble United Industrial Park,Artmatrix Properties Private Limited,396210,,New Project,12/31/2025,,,Commercial,20366.0,2550.0,29105.98,02/08/2023,,11.0,0.0,0.0,2.0,0.0,4.0,2.0,150.0,0.0,0.0,0.0,0.0
Daman,P49500000041,Fortune DP Nano-2 Phase - 2,G B AND ASSOCIATES,396210,,New Project,03/31/2027,,,Mixed Development(Residential  and Commercial),7353.0,4933.26,8376.8,01/12/2024,,235.0,109.0,0.0,4.0,0.0,19.0,0.0,146.0,0.0,0.0,0.0,0.0
Daman,P49500000042,FORTUNE AMAIRA,FORTUNE PARVATI,396210,,New Project,03/31/2029,,,Mixed Development(Residential  and Commercial),2300.0,1785.52,4839.38,01/12/2024,,76.0,9.0,1.0,1.0,0.0,9.0,0.0,25.0,25.0,0.0,0.0,0.0
Daman,P49500000043,Shree Hari Commercial Building Phase 1,ASHOKKUMAR HARIBHAI TANDEL,396210,"('20.241747800000000','72.521616000000000')",New Project,03/31/2027,,,Commercial,9204.1,1700.0,8827.0,10/30/2023,,89.0,6.0,0.0,1.0,0.0,3.0,0.0,80.0,0.0,0.0,0.0,0.0
Daman,P49500000044,Vama Park,Vama Realty,396210,,New Project,03/31/2026,,,Group Housing,6710.0,746.0,5716.26,10/31/2023,,35.0,16.0,0.0,4.0,0.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0
Daman,P49500000046,Golden Palace,Amratbhai Paragji Patel,396210,,New Project,03/31/2028,,,Mixed Development(Residential  and Commercial),2600.0,0.0,8476.45,10/25/2023,,95.0,0.0,0.0,1.0,0.0,9.0,1.0,29.0,1.0,0.0,0.0,0.0
Daman,P49500000047,Krishna Vaas,LAASYA LIFESPACES,396220,,New Project,12/31/2026,,,Group Housing,357.0,569.0,335.0,09/27/2023,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
